Espacenet;;;;;;;;;;;
Patent search;;;;;;;;;;;
"307 results found for (ctxt any ""fuel"" AND (ctxt any ""assemb*"" OR ctxt any ""bundl*"" OR ctxt any ""cartridg*"")) AND (ctxt any ""nuclear"" OR (ctxt any ""boil*"" AND ctxt any ""water*"")) AND ((ctxt any ""head*"" OR ctxt any ""cover*"") OR ((ctxt any ""top*"" OR ctxt any ""upper*"") AND (ctxt any ""nozzl*"" OR ctxt any ""cap*"" OR ctxt any ""lid*"" OR ctxt any ""plat*"" OR ctxt any ""end*"" OR ctxt any ""hood*"" OR ctxt any ""stem*""))) AND pd > ""2005-01-01"" AND (pn any ""FR"" OR pn any ""EP"")";;;;;;;;;;;
Results 1 to 307 displayed;;;;;;;;;;;
Query language: en / de / fr;;;;;;;;;;;
Sort by: Relevance;;;;;;;;;;;
;;;;;;;;;;;
No;Title;Abstract;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
11;BOILING WATER REACTOR NUCLEAR FUEL ASSEMBLY LIFTING SUPPORT;A lifting support for a boiling water reactor nuclear fuel assembly comprising a grappling head configured to allow attachment to a lifting device, a body with an upper end and a lower end, the upper end connected to the grappling head, the body configured to be inserted into a water channel of a boiling water reactor nuclear fuel assembly, and an end connected to the lower end, the end configured to be accepted by the nuclear fuel assembly.;SMITH MARK H [US];FRAMATOME ANP INC [US];"EP1568047A2 
EP1568047A4 
EP1568047B1";06.12.2002;"G21C19/00 
G21C19/105 
G21C3/33 
G21C19/00";"G21C19/105 (EP,US) 
G21C3/3315 (EP,US) 
Y02E30/30 (EP,US) 
Y10T74/20468 (EP,US)";"2005-08-31 
2007-01-10 
2008-09-10";10.06.2004;32468358
12;SYSTEM FOR DECOUPLING AND COUPLING UPPER END FITTING OF NUCLEAR FUEL ASSEMBLY;"Disclosed is a system for decoupling and coupling an upper end fitting of a nuclear fuel assembly. In the present invention, a lock insert, which is coupled to a guide hole formed on a flow channel plate of an upper end fitting of a nuclear fuel assembly and supports the upper end fitting, is characterized by comprising: a hollow body; and an insertion part provided in an upper portion of the body and inserted into the guide hole, wherein the insertion part is inserted into the guide hole by varying the circumference of the insertion part. According to the present invention, disassembly and reassembly of the upper end fitting of the nuclear fuel assembly and the lock insert are simplified to simplify and reduce the number of processes involved, and thus the system is effective for the maintenance and repair of the nuclear fuel assembly.";"CHUN JOO HONG [KR] 
KIM SEONG SOO [KR] 
KIM BA LEUM [KR] 
RYU SU PIL [KR] 
PARK NAM GYU [KR] 
YOO JONG SUNG [KR]";KEPCO NUCLEAR FUEL CO LTD [KR];"EP3709312A1 
EP3709312A4";09.11.2017;"G21C3/33 
G21C19/10 
G21C19/105";"G21C19/10 (EP) 
G21C19/105 (EP) 
G21C3/3315 (EP,KR,US) 
G21C3/334 (US) 
Y02E30/30 (EP)";"2020-09-16 
2021-12-15";16.05.2019;66437776
13;Fuel assembly for a nuclear boiling water reactor;The present invention concerns a fuel assembly (4) for a nuclear power boiling water reactor, comprising: a fuel channel (6) defining a central fuel channel axis (8), fuel rods (10), each having a central fuel rod axis (12), at least 3 water channels (14) for non-boiling water, each water channel having a central water channel axis (16) and each water channel having a larger cross-sectional area than the cross-sectional area of (the average) fuel rod (10). The fuel rods (10) comprise a first group of full length fuel rods and a second group of shorter fuel rods. The fuel assembly (4) comprises 3 or 4 fuel rods which belong to said second group and which are positioned such that the central fuel rod axis (12) of each of these 3 or 4 fuel rods is closer to the central fuel channel axis (8) than any of the water channel axes (16) of the water channels (14).;"AUR√âN JONAS [SE] 
BERGMANN UFFE [SE]";"WESTINGHOUSE ELECTRIC SWEDEN [SE] 
WESTINGHOUSE ELECTRIC SWEDEN AB [SE]";"EP3059737A1 
EP3059737B1";20.02.2015;"G21C3/322 
G21C3/326 
G21C3/328";"G21C3/322 (US) 
G21C3/328 (EP,US) 
G21C3/3225 (EP,US) 
Y02E30/30 (EP,US)";"2016-08-24 
2018-01-03";24.08.2016;52477742
14;Debris shield for upper tie plate in a nuclear fuel bundle and method for filtering debris;"A nuclear reactor fuel assembly including: an upper tie plate having apertures to receive and support fuel rods of a fuel bundle; the fuel bundle includes an array of the fuel rods mounted and housed in the walls of a channel, and a load bearing or non-load bearing debris shield may be mounted in the upper tie plate, wherein the debris shield is porous to prevent the passage of debris. The debris shield is mounted in the frame of the upper tie plate. The debris shield can be either a removable unit, or it can be attached as a permanent integrated structure within the upper tie plate. The upper tie plate frame is also porous, e.g., has small vertical openings to allow fluid to pass through the frame and block passage of debris. The openings in the frame increase the effective flow area of passages through the upper tie plate and thereby compensate or offset any flow restrictions due to the debris shield. Preventing debris falling into the fuel bundle is expected to assure the operational life of the fuel assembly by reducing the risk of fuel rod failure and premature discharge from the reactor core.";"DE FILIPPIS MICHAEL S [US] 
LUCIANO GERALD A [US] 
SMITH DAVID [US] 
KIERNAN MICHAEL T [US] 
CLARK CARLTON W [US] 
LANGSTON ANDREW K [US]";GLOBAL NUCLEAR FUEL AMERICAS [US];"EP2031599A1 
EP2031599B1";31.08.2007;"G21C3/33 
G21C3/344";"G21C3/3206 (EP,US) 
G21C3/33 (EP,US) 
G21C3/344 (EP,US) 
Y02E30/30 (EP,US)";"2009-03-04 
2011-07-13";04.03.2009;40089936
15;FUEL ASSEMBLY END CAP COMPRISING A COOLANT-FLOW-ORIENTING NOZZLE AND CORRESPONDING ASSEMBLY;The invention relates to an end cap comprising nozzles (39) for orienting the flow of coolant from the reactor along the length of the adjacent longitudinal ends (19) of fuel rods (3) in a fuel assembly. According to the invention, the nozzles (39) are disposed at nodes in the same network as the fuel rods (3) in order to be positioned in the longitudinal extension of at least some of said fuel rods (3) and/or at least some of the connecting elements (11) of the support skeleton.;"LABARRIERE ERIC [FR] 
BEATI ANGELO [FR] 
BONNAMOUR MICHEL [FR]";AREVA NP [FR];"EP1697945A2 
EP1697945B1";22.12.2003;"G21C3/322 
G21C3/33";"G21C3/32 (KR) 
G21C3/322 (EP,KR,US) 
G21C3/33 (KR) 
G21C3/3305 (EP,US) 
Y02E30/30 (EP,US)";"2006-09-06 
2009-12-16";24.06.2005;34630459
16;BOTTOM NOZZLE AND NUCLEAR FUEL ASSEMBLY COMPRISING SUCH A BOTTOM NOZZLE;The bottom nozzle comprises a tubular body (16) having a lower opening (18) and an upper opening (20), a lower tie plate (24) extending across the upper opening (20) and a debris filter (28) received inside the tubular body (16) below the lower tie plate (24), wherein the bottom nozzle comprises connection members (32), each connection member (32) being configured for securing a lower end of a respective guide tube (12) of the nuclear fuel assembly to the lower tie plate (24) and being operable from below the debris filter (28) for attaching the guide tube (12) to the lower tie plate (24) and detaching the guide tube (12) from the lower tie plate (24).;"BEN AISSA MHAMED [FR] 
BLANC PASCAL [DE] 
MESSINGSCHLAGER MARCO [DE]";FRAMATOME SA [FR];EP4099342A1;03.06.2021;"G21C3/32 
G21C3/33 
G21C3/334";"G21C3/3206 (EP) 
G21C3/3305 (EP) 
G21C3/334 (EP) 
Y02E30/30 (EP)";07.12.2022;07.12.2022;77155716
17;BOTTOM NOZZLE OF NUCLEAR REACTOR FUEL ASSEMBLY;The nuclear reactor fuel assembly bottom nozzle comprises a support element, a diffuser, a hexagonal frame, connected coaxially to each other, with variable height fins fixed in non-adjacent corners of the hexagonal frame with a displacement from the plane of symmetry of the corners so that the end of one rib is mated with the side surface of the other rib. The profile of the fins is made with a ledge on the side surface of the fins and a thinning of the upper edge of the fins, the ledge serves to install the rim of the anti-debris filter, and the thinning serves to abut against the support grid of the fuel element bundle.The thinning of the fins can be made in the form of teeth with flat tops.The technical result is an increased reliability of the bottom nozzle and of the fuel assembly as a whole due to reduced hydraulic resistance of the bottom nozzle and reduced vibration loading of fuel elements.;"IVANOV ROMAN SERGEEVICH [RU] 
SHUSTOV MSTISLAV ALEKSANDROVICH [RU] 
ENIN ANATOLY ALEKSEEVICH [RU] 
POLYAKOV DMITRY LEONIDOVICH [RU] 
YURIN PETR MIKHAILOVICH [RU]";JOINT STOCK COMPANY TVEL [RU];"EP4080520A1 
EP4080520A4";15.10.2019;"G21C3/32 
G21C3/33";"G21C3/3206 (EP) 
G21C3/3305 (EP) 
Y02E30/30 (EP)";"2022-10-26 
2023-11-01";22.04.2021;75538566
18;NUCLEAR REACTOR FUEL ASSEMBLY;The invention relates to nuclear reactor fuel assemblies. A nuclear reactor fuel assembly comprises a head, a bundle of fuel elements, spacer grids and an anti-debris filter. The anti-debris filter is mounted in a bottom nozzle of the fuel assembly and is in the form of groups of rectilinear plates arranged in the cross section of the bottom nozzle. An upper and a lower group of plates are arranged at an angle to the longitudinal axis of the fuel assembly and are connected by a central group of plates parallel to the longitudinal axis of the fuel assembly so as to form channels of rectangular cross section along the longitudinal axis of the fuel assembly for the passage of coolant. Furthermore, channels formed by the upper and central groups of plates are arranged at an angle of 0...15∞ to the longitudinal axis of the fuel assembly. Channels formed by the central and lower groups of plates are arranged at an angle of 15...25∞ to the longitudinal axis of the fuel assembly with an inclination opposed to the inclination of the channels formed by the upper and central groups of plates. The upper and the lower group of plates are arranged with a gap along the longitudinal axis of the fuel assembly. The technical result is an increase in the reliability and efficiency of a fuel assembly owing to the improvement in the design of the anti-debris filter.;"AKSENOV PYOTR MIKHAYLOVICH [RU] 
LUZAN YURIY VASIL'YEVICH [RU] 
LERNER ALEXANDR YEFIMOVICH [RU] 
MYAKOV SERGEY ALEXANDROVICH [RU] 
SAMOYLOV OLEG BORISOVICH [RU] 
SIMANOVSKAYA IRINA EVGEN'EVNA [RU] 
SHIPOV DMITRIY LEONIDOVICH [RU] 
SHOLIN EVGENIY VASIL'YEVICH [RU]";"JOINT STOCK COMPANY TVEL [RU] 
PUBLIC JOINT STOCK COMPANY MASH ZAVOD [RU]";"EP3734614A1 
EP3734614A4";28.12.2017;"B01D29/11 
G21C3/30 
G21C3/32 
G21C3/322 
G21C3/33";"B01D29/012 (EP) 
B01D29/03 (EP) 
G21C19/30 (US) 
G21C3/30 (RU) 
G21C3/3206 (EP,US) 
G21C3/322 (EP) 
G21C3/3305 (EP) 
B01D29/11 (US) 
G21C3/30 (US) 
Y02E30/30 (EP)";"2020-11-04 
2021-12-01";04.07.2019;67067982
19;Detachable nuclear reactor fuel assembly component;Example embodiments are directed to fuel assembly components (400) and nuclear fuel bundles (10) including the fuel assembly components. Example embodiments of a fuel assembly component may include a cylindrical device (350) having first and second ends and a mounting assembly (380) on the first end of the cylindrical device configured to attach to and detach from a partial length fuel rod (19). Example embodiments of a nuclear fuel bundle (10) may include an upper tie plate (14), a lower tie plate (16), at least one full-length fuel rod (18), at least one partial length fuel rod (19), and a fuel assembly component (400).;LUTZ DANIEL REESE [US];GLOBAL NUCLEAR FUEL AMERICAS [US];"EP2109113A2 
EP2109113A3 
EP2109113B1";08.04.2008;"G21C3/04 
G21C3/326";"G21C3/04 (EP,US) 
G21C3/326 (EP,US) 
Y02E30/30 (EP,US)";"2009-10-14 
2011-06-29 
2014-09-03";08.10.2009;40809783
20;BWR nuclear fuel assembly with non-retained partial length fuel rods;A nuclear fuel assembly for a boiling water reactor comprising a base, a head and a bundle of full length fuel rods and partial length fuel rods (11), said bundle extending longitudinally between the base and the head, at least one partial length fuel rod (11) having a lower end (23) received in a housing (21) provided in the base (2) and delimited by a closed bottom larger than the lower end (23). The housing (21) is further delimited by a peripheral wall surrounding the lower end (23) and said partial length fuel rod (11) rests freely on the bottom.;"SCHAEFER JENS [DE] 
KRONENBERG JURIS [DE]";AREVA NP [FR];"EP2306465A1 
EP2306465B1";01.10.2009;"G21C3/322 
G21C3/33";"G21C3/322 (EP,US) 
G21C3/3305 (EP,US) 
G21C1/084 (EP,US) 
G21C3/3206 (EP,US) 
Y02E30/30 (EP,US)";"2011-04-06 
2013-08-14";06.04.2011;41559570
21;Nuclear fuel assembly debris filter bottom nozzle;A debris filter bottom nozzle (12) for a nuclear fuel assembly (10) having a support skirt and a top plate (46). The top nozzle plate has defined therethrough a plurality of flow holes. The axial bore through each flow hole is contoured as a venturi. Preferably, the venturi is formed with the double chamfered inlet.;"BROACH KIRKLAND D [US] 
HAZLETT PHILLIP L [US] 
LUNDE CARTER E [US]";WESTINGHOUSE ELECTRIC CORP [US];"EP1551033A2 
EP1551033A3 
EP1551033B1";05.01.2004;"G21C3/32 
G21C15/06 
G21C19/30 
G21C3/04 
G21C3/30 
G21C3/32 
G21C3/33";"G21C15/06 (KR) 
G21C19/30 (KR) 
G21C3/04 (KR) 
G21C3/3206 (EP,US) 
Y02E30/30 (EP,US)";"2005-07-06 
2010-01-20 
2012-03-07";06.07.2005;34574825
22;NUCLEAR REACTOR FUEL ASSEMBLY;The nuclear reactor fuel assembly comprises a bundle of fuel elements installed in the frame formed by guide channels and retention grids, bottom nozzle, a removable head comprising collet tubes, upper mantle, a support element, and springs. Collet tubes are made of two coaxially arranged tubes, the lower and upper, with the provision of movement of one pipe relative to another. On the side surfaces of each pipe, stops are made that interact with each other and provide the selected length of the collet pipe, while the pipe passing through the hole in the plate of the operation mantle has a rigid fastening to the specified plate. The support element is a pipe with rigidly fixed plate interacting with the spring, and the upper mantle is made in the form of a pipe located coaxially to the pipe support element with necessary mounting and having a gap at the bottom of bosses, interacting with springs, and in the upper part of the support that interacts with the tube support element, with the plate supporting element opposite each of the bosses of the upper mantle is provided with holes, the shape of which conforms to the shape of the boss of the upper mantle, the margin between the hole in the plate supporting element and the boss is not less than the mounting gap between the upper tube mantle and tube support element.For mounting and dismounting the removable head, a device can be used in accordance with RF patent No. 2075118.The proposed improvement in the design of the removable head of the fuel Assembly makes it possible to reduce its dimensions while maintaining the fixation of the fuel Assembly in the reactor's internals at the time of damping the decreasing regulator.;"V'YALITSIN VIKTOR VASIL'EVICH [RU] 
KUSHMANOV SERGEY ALEKSANDROVICH [RU] 
PUZANOV DMITRIY NIKOLAEVICH [RU] 
V'YALITSIN DMITRIY VIKTOROVICH [RU]";JOINT STOCK COMPANY EXPERIMENTAL AND DESIGN ORGANISATION GIDROPRESS AWARDED THE ORDER OF THE RED BAN [RU];"EP3842739A1 
EP3842739A4";23.08.2018;"G01C3/04 
G21C3/32 
G21C3/30 
G21C3/33";"G21C3/04 (KR,RU) 
G21C3/30 (EP) 
G21C3/32 (EP) 
G21C3/326 (US) 
G21C3/331 (EP,US) 
G21C3/3315 (EP,US) 
G21C7/20 (US) 
G21C3/04 (US) 
G21C3/3305 (US) 
Y02E30/30 (EP,KR)";"2021-06-30 
2022-08-03";30.04.2019;66430429
23;Rod assembly for nuclear reactors;A rod assembly (100) for a fuel bundle of a nuclear reactor may include an upper end piece (120), lower end piece (130) and a plurality of rod segments (110) attached between the upper and lower end pieces and to each other so as to form an axial length of the rod assembly. The rod assembly may include an adaptor subassembly (300,) provided at given connection points for connecting adjacent rod segments or a given rod segment with one of the upper and lower end pieces. The connection points along the axial length of the rod assembly may be located where the rod assembly contacts a spacer in the fuel bundle. One (or more) of the rod segments may include an irradiation target therein for producing a desired isotope when a fuel bundle containing one (or more) rod assemblies is irradiated in a core of the reactor.;"FAWCETT RUSSELL MORGAN [US] 
GONZALES RANDY PETER [US] 
HIGGINS RUSSELL PATRICK [US] 
JAMES ROBERT BRYANT [US] 
KIERNAN MICHAEL THOMAS [US] 
SHELTON STEVEN BRUCE [US] 
SMITH DAVID GREY [US] 
STACHOWSKI RUSSELL EDWARD [US] 
TROSMAN LUKAS [US] 
RUSSELL II WILLIAM EARL [US]";GEN ELECTRIC [US];"EP1667165A2 
EP1667165A3 
EP1667165B1";03.12.2004;"G21C1/30 
G21C3/14 
G21C3/326";"G21C1/303 (EP,US) 
G21C3/14 (EP,US) 
G21C3/326 (EP,US) 
Y02E30/30 (EP,US)";"2006-06-07 
2008-04-09 
2013-03-27";07.06.2006;35735102
